Argentina - Fixed;54;0,018
Argentina - Mobile;549;0,095
Chile - Fixed;56;0,0144
Chile - Mobile;569;0,0185
Colombia   Comcel Moviles;57322;0,0099
Colombia   Moviles;573;0,014
Colombia   Tigo Moviles;57302;0,0099
Colombia   Tigo Moviles;57303;0,0099
Colombia - Fixed;57;0,0106
Colombia - Mobile;57350;0,014
Colombia - Mobile Comcel;57310;0,0099
Colombia - Mobile Comcel;57311;0,0099
Colombia - Mobile Comcel;57312;0,0099
Colombia - Mobile Comcel;57313;0,0099
Colombia - Mobile Comcel;57314;0,0099
Colombia - Mobile Comcel;57320;0,0099
Colombia - Mobile Comcel;57321;0,0099
Colombia - Mobile Movistar;57315;0,0099
Colombia - Mobile Movistar;57316;0,0099
Colombia - Mobile Movistar;57317;0,0099
Colombia - Mobile Movistar;57318;0,0099
Colombia - Mobile Movistar;57319;0,0099
Colombia - Mobile TIGO;57300;0,0099
Colombia - Mobile TIGO;57301;0,0099
Colombia - Mobile TIGO;57304;0,0099
Colombia - Mobile TIGO;57305;0,0099
Colombia FIX;576;0,0188
Colombia Movil;57323;0,0099
Dominican Rep, Mobile 1829;182920;0,0956
Dominican Rep, Mobile 1829;182926;0,0956
Dominican Rep, Mobile 1829;182927;0,0956
Dominican Rep, Mobile 1829;182928;0,0956
Dominican Rep, Mobile 1829;182929;0,0956
Dominican Rep, Mobile 1829;182939;0,0956
Dominican Rep-Centennial-Mobile;1809440;0,0967
Dominican Rep-Centennial-Mobile;1809441;0,0967
Dominican Rep-Centennial-Mobile;1809442;0,0967
Dominican Rep-Centennial-Mobile;1809443;0,0967
Dominican Rep-Centennial-Mobile;1809444;0,0967
Dominican Rep-Centennial-Mobile;1809445;0,0967
Dominican Rep-Centennial-Mobile;1809446;0,0967
Dominican Rep-Centennial-Mobile;1809447;0,0967
Dominican Rep-Centennial-Mobile;1809448;0,0967
Dominican Rep-Centennial-Mobile;1809449;0,0967
Dominican Rep-Viva Trilogy-Fixed;18299960;0,042
Dominican Rep-Viva Trilogy-Fixed;18299961;0,042
Dominican Rep-Viva Trilogy-Fixed;18299962;0,042
Dominican Rep-Viva Trilogy-Fixed;18299963;0,042
Dominican Rep-Viva Trilogy-Fixed;18299964;0,042
Dominican Rep-Viva Trilogy-Fixed;18299965;0,042
Dominican Rep-Viva Trilogy-Fixed;18299966;0,042
Dominican Rep-Viva Trilogy-Fixed;18299968;0,042
Dominican Rep-Viva Trilogy-Fixed;18299969;0,042
Dominican Republic - Fixed;1809;0,035
Dominican Republic - Fixed;1829;0,035
Dominican Republic - Fixed;1849;0,035
Dominican Republic - Mobile Orange;1809601;0,0956
Dominican Republic - Mobile Orange;1809602;0,0956
Dominican Republic - Mobile Orange;1809603;0,0956
Dominican Republic - Mobile Orange;1809605;0,0956
Dominican Republic - Mobile Orange;1809607;0,0956
Dominican Republic - Mobile Orange;1809608;0,0956
Dominican Republic - Mobile Orange;1809609;0,0956
Dominican Republic - Mobile Orange;1809610;0,0956
Dominican Republic - Mobile Orange;1809613;0,0956
Dominican Republic - Mobile Orange;1809627;0,0956
Dominican Republic - Mobile Orange;1809653;0,0956
Dominican Republic - Mobile Orange;1809654;0,0956
Dominican Republic - Mobile Orange;1809657;0,0956
Dominican Republic - Mobile Orange;1809702;0,0956
Dominican Republic - Mobile Orange;1809703;0,0956
Dominican Republic - Mobile Orange;1809704;0,0956
Dominican Republic - Mobile Orange;1809705;0,0956
Dominican Republic - Mobile Orange;1809706;0,0956
Dominican Republic - Mobile Orange;1809708;0,0956
Dominican Republic - Mobile Orange;1809712;0,0956
Dominican Republic - Mobile Orange;1809713;0,0956
Dominican Republic - Mobile Orange;1809714;0,0956
Dominican Republic - Mobile Orange;1809715;0,0956
Dominican Republic - Mobile Orange;1809779;0,0956
Dominican Republic - Mobile Orange;1809780;0,0956
Dominican Republic - Mobile Orange;1809781;0,0956
Dominican Republic - Mobile Orange;1809801;0,0956
Dominican Republic - Mobile Orange;1809802;0,0956
Dominican Republic - Mobile Orange;1809803;0,0956
Dominican Republic - Mobile Orange;1809804;0,0956
Dominican Republic - Mobile Orange;1809805;0,0956
Dominican Republic - Mobile Orange;1809815;0,0956
Dominican Republic - Mobile Orange;1809816;0,0956
Dominican Republic - Mobile Orange;1809817;0,0956
Dominican Republic - Mobile Orange;1809819;0,0956
Dominican Republic - Mobile Orange;1809820;0,0956
Dominican Republic - Mobile Orange;1809850;0,0956
Dominican Republic - Mobile Orange;1809851;0,0956
Dominican Republic - Mobile Orange;1809852;0,0956
Dominican Republic - Mobile Orange;1809853;0,0956
Dominican Republic - Mobile Orange;1809854;0,0956
Dominican Republic - Mobile Orange;1809855;0,0956
Dominican Republic - Mobile Orange;1809856;0,0956
Dominican Republic - Mobile Orange;1809857;0,0956
Dominican Republic - Mobile Orange;1809858;0,0956
Dominican Republic - Mobile Orange;18098597;0,0956
Dominican Republic - Mobile Orange;18098598;0,0956
Dominican Republic - Mobile Orange;180986;0,0956
Dominican Republic - Mobile Orange;1809873;0,0956
Dominican Republic - Mobile Orange;1809875;0,0956
Dominican Republic - Mobile Orange;1809876;0,0956
Dominican Republic - Mobile Orange;1809877;0,0956
